Achievement Standard ID,Year Level,Subject,Standard Text,Codes,Category,Linked Content Descriptor Codes
P-HS-AS-01,Foundation,HASS,"Students identify significant people and events in their own lives, and how significant events are celebrated or commemorated.","AC9HSFK01, AC9HSFK02",,"AC9HSFK01, AC9HSFK02"
P-HS-AS-02,Foundation,HASS,"Students pose questions, and sort and record information from observations and provided sources.","AC9HSFS01, AC9HSFS02",,"AC9HSFS01, AC9HSFS02"
P-HS-AS-03,Foundation,HASS,"Students recognise the features of familiar places, why some places are special to people and the ways they can care for them.","AC9HSFK03, AC9HSFK04",,"AC9HSFK03, AC9HSFK04"
P-HS-AS-04,Foundation,HASS,Students use sources and terms to share observations about places and the past.,AC9HSFS05,,AC9HSFS05
P-HS-AS-05,Foundation,HASS,They share a perspective and draw conclusions.,"AC9HSFS03, AC9HSFS04",,"AC9HSFS03, AC9HSFS04"
Y1-HS-AS-01,Year 1,HASS,"Students develop questions and collect, sort and record information and data from observations and provided sources.","AC9HS1S01, AC9HS1S02",,"AC9HS1S01, AC9HS1S02"
Y1-HS-AS-02,Year 1,HASS,"Students identify continuity and change in family structures, roles and significant aspects of daily life.","AC9HS1K01, AC9HS1K02",,"AC9HS1K01, AC9HS1K02"
Y1-HS-AS-03,Year 1,HASS,"Students share narratives and observations about people, places and the past, drawing on sources and incorporating subject-specific terms.",AC9HS1S06,,AC9HS1S06
Y1-HS-AS-04,Year 1,HASS,They draw conclusions and make proposals.,AC9HS1S05,,AC9HS1S05
Y1-HS-AS-05,Year 1,HASS,"They identify the location and nature of the natural, managed and constructed features of local places, the ways places change, and how they can be cared for by people.","AC9HS1K03, AC9HS1K04",,"AC9HS1K03, AC9HS1K04"
Y1-HS-AS-06,Year 1,HASS,They interpret information and discuss perspectives.,"AC9HS1S03, AC9HS1S04",,"AC9HS1S03, AC9HS1S04"
Y2-HS-AS-01,Year 2,HASS,"Students develop questions, and collect, sort and record related information and data from observations and provided sources.","AC9HS2S01, AC9HS2S02",,"AC9HS2S01, AC9HS2S02"
Y2-HS-AS-02,Year 2,HASS,Students identify that places can be spatially represented in different geographical divisions.,AC9HS2K03,,AC9HS2K03
Y2-HS-AS-03,Year 2,HASS,"Students identify the significance of a local person, group, place and/or building.",AC9HS2K01,,AC9HS2K01
Y2-HS-AS-04,Year 2,HASS,Students use interpretations to draw conclusions and make proposals.,AC9HS2S05,,AC9HS2S05
Y2-HS-AS-05,Year 2,HASS,"Students use sources, and subject-specific terms to present narratives and observations about the past, people and places at different scales.",AC9HS2S06,,AC9HS2S06
Y2-HS-AS-06,Year 2,HASS,They identify how people and places are interconnected both at local and broader scales.,AC9HS2K04,,AC9HS2K04
Y2-HS-AS-07,Year 2,HASS,They identify the effects of changes in technologies on people’s lives.,AC9HS2K02,,AC9HS2K02
Y2-HS-AS-08,Year 2,HASS,"They interpret information and data, and identify and discuss perspectives.","AC9HS2S03, AC9HS2S04",,"AC9HS2S03, AC9HS2S04"
Y3-HS-AS-01,Year 3,HASS,"Students describe the causes, effects and contributions of people to change.",AC9HS3K01,,AC9HS3K01
Y3-HS-AS-02,Year 3,HASS,Students describe the importance of rules and people’s contributions to communities.,"AC9HS3K06, AC9HS3K07",,"AC9HS3K06, AC9HS3K07"
Y3-HS-AS-03,Year 3,HASS,"Students develop questions and locate, collect and record information and data from different sources.","AC9HS3S01, AC9HS3S02",,"AC9HS3S01, AC9HS3S02"
Y3-HS-AS-04,Year 3,HASS,Students propose actions or responses.,AC9HS3S06,,AC9HS3S06
Y3-HS-AS-05,Year 3,HASS,"Students use ideas from sources, and subject-specific terms to present descriptions and explanations.",AC9HS3S07,,AC9HS3S07
Y3-HS-AS-06,Year 3,HASS,They analyse information and data to identify perspectives and they draw conclusions.,"AC9HS3S04, AC9HS3S05",,"AC9HS3S04, AC9HS3S05"
