Learning Area,Element,Sub-element,Progression level,Subheading,Indicator ID,Indicator order,Indicator text (verbatim),Indicator text (no examples),Example / elaboration,Relevant – Foundation,Relevant – Year 1,Relevant – Year 2,Relevant – Year 3,Relevant – Year 4,Relevant – Year 5,Relevant – Year 6,Relevant – Year 7,Relevant – Year 8,Relevant – Year 9,Relevant – Year 10
Numeracy,Number sense and algebra,Number and place value,1,Numeral recognition and identification,NUM-NSA-NPV-L1-I01,1,"identifies and produces familiar number names and numerals such as those associated with age or home address, but may not distinguish whether they refer to a quantity, an ordinal position or a label (e.g. “I am 5 and my sister is 7”; “I wear the number 7 jumper”; “I live at 4 Baker Street”; “this is the number 2”)","identifies and produces familiar number names and numerals such as those associated with age or home address, but may not distinguish whether they refer to a quantity, an ordinal position or a label ",e.g. “I am 5 and my sister is 7”; “I wear the number 7 jumper”; “I live at 4 Baker Street”; “this is the number 2”),Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,1,Pre-place value,NUM-NSA-NPV-L1-I02,2,compares 2 collections visually and states which group has more items and which group has less,compares 2 collections visually and states which group has more items and which group has less,,Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,1,Pre-place value,NUM-NSA-NPV-L1-I03,3,instantly recognises collections up to 3 without needing to count and recognises small quantities as being the same or different,instantly recognises collections up to 3 without needing to count and recognises small quantities as being the same or different,,Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,1,Pre-place value,NUM-NSA-NPV-L1-I04,4,uses language to describe order and place (e.g. understands “who wants to go first?”; in the middle; “who was the last person to read this book?”),uses language to describe order and place ,e.g. understands “who wants to go first?”; in the middle; “who was the last person to read this book?”),Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,1,Numeral recognition and identification,NUM-NSA-NPV2-L1-I01,1,"identifies and produces familiar number names and numerals such as those associated with age or home address, but may not distinguish whether they refer to a quantity, an ordinal position or a label (e.g. “I am 5 and my sister is 7”; “I wear the number 7 jumper”; “I live at 4 Baker Street”; “this is the number 2”)","identifies and produces familiar number names and numerals such as those associated with age or home address, but may not distinguish whether they refer to a quantity, an ordinal position or a label ",e.g. “I am 5 and my sister is 7”; “I wear the number 7 jumper”; “I live at 4 Baker Street”; “this is the number 2”),Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,1,Pre-place value,NUM-NSA-NPV2-L1-I02,2,compares 2 collections visually and states which group has more items and which group has less,compares 2 collections visually and states which group has more items and which group has less,,Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,1,Pre-place value,NUM-NSA-NPV2-L1-I03,3,instantly recognises collections up to 3 without needing to count and recognises small quantities as being the same or different,instantly recognises collections up to 3 without needing to count and recognises small quantities as being the same or different,,Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,1,Pre-place value,NUM-NSA-NPV2-L1-I04,4,uses language to describe order and place (e.g. understands “who wants to go first?”; in the middle; “who was the last person to read this book?”),uses language to describe order and place ,e.g. understands “who wants to go first?”; in the middle; “who was the last person to read this book?”),Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,2,Numeral recognition and identification,NUM-NSA-NPV-L2-I01,1,"identifies and names numerals in the range of 1–10 (e.g. when asked “which is 3?” points to the numeral 3; when shown the numeral 5, says “that’s 5”)",identifies and names numerals in the range of 1–10 ,"e.g. when asked “which is 3?” points to the numeral 3; when shown the numeral 5, says “that’s 5”)",Yes,,,,,,,,,,
Numeracy,Number sense and algebra,Number and place value,2,Numeral recognition and identification,NUM-NSA-NPV-L2-I02,2,"matches a quantity of items in a collection to the correct number name or numeral in the range of 1–10 (e.g. when shown the numeral 5 and asked to “go and collect this many items”, gathers 5 items)",matches a quantity of items in a collection to the correct number name or numeral in the range of 1–10 ,"e.g. when shown the numeral 5 and asked to “go and collect this many items”, gathers 5 items)",Yes,,,,,,,,,,
