Achievement standard aspect ID,Content descriptor code
Prep-AS-4617,AC9EFLA01
Prep-AS-4617,AC9EFLE05
Prep-AS-4617,AC9EFLY02
Prep-AS-4617,AC9EFLY05
Prep-AS-4617,AC9EFLY07
Prep-AS-1020,AC9EFLA04
Prep-AS-1020,AC9EFLA05
Prep-AS-1020,AC9EFLA06
Prep-AS-1020,AC9EFLA07
Prep-AS-1020,AC9EFLE05
Prep-AS-1020,AC9EFLY06
Prep-AS-4505,AC9EFLA09
Prep-AS-4505,AC9EFLY06
Prep-AS-4505,AC9EFLY08
Prep-AS-4505,AC9EFLY12
Prep-AS-4505,AC9EFLY13
Prep-AS-4505,AC9EFLY14
Prep-AS-9779,AC9EFLA03
Prep-AS-9779,AC9EFLA04
Prep-AS-9779,AC9EFLA05
Prep-AS-9779,AC9EFLA06
Prep-AS-9779,AC9EFLA07
Prep-AS-9779,AC9EFLA08
Prep-AS-9779,AC9EFLA09
Prep-AS-9779,AC9EFLE03
Prep-AS-9779,AC9EFLY01
Prep-AS-9779,AC9EFLY03
Prep-AS-3220,AC9EFLE04
Prep-AS-3220,AC9EFLY09
Prep-AS-4930,AC9EFLY11
Prep-AS-4930,AC9EFLY13
Prep-AS-857,AC9EFLY10
Prep-AS-132,AC9EFLY12
Prep-AS-132,AC9EFLY14
Prep-AS-132,AC9EFLY15
Prep-AS-8043,AC9EFLA07
Prep-AS-8043,AC9EFLA08
Prep-AS-8043,AC9EFLE01
Prep-AS-8043,AC9EFLE02
Prep-AS-8043,AC9EFLE03
Prep-AS-8043,AC9EFLY01
Prep-AS-8043,AC9EFLY03
Prep-AS-8043,AC9EFLY04
Prep-AS-8043,AC9EFLY05
Prep-AS-4200,AC9EFLA05
Prep-AS-4200,AC9EFLA06
Prep-AS-4200,AC9EFLA07
Prep-AS-4200,AC9EFLE02
Prep-AS-4200,AC9EFLE05
Prep-AS-4200,AC9EFLY06
Prep-AS-6759,AC9EFLA02
Prep-AS-6759,AC9EFLE01
Prep-AS-6759,AC9EFLE02
Prep-AS-6759,AC9EFLY02
Prep-AS-6759,AC9EFLY07
Prep-AS-6288,AC9EFLA02
Prep-AS-6288,AC9EFLA08
Prep-AS-6288,AC9EFLE04
Prep-AS-6288,AC9EFLY09
Prep-AS-1683,AC9EFLA08
Prep-AS-1683,AC9EFLY06
Year1-AS-1357,AC9E1LE01
Year1-AS-1357,AC9E1LY06
Year1-AS-4833,AC9E1LA01
Year1-AS-4833,AC9E1LE02
Year1-AS-4833,AC9E1LE04
Year1-AS-4833,AC9E1LE05
Year1-AS-4833,AC9E1LY02
Year1-AS-4833,AC9E1LY05
Year1-AS-4833,AC9E1LY07
Year1-AS-2951,AC9E1LY04
Year1-AS-2951,AC9E1LY10
Year1-AS-2951,AC9E1LY11
Year1-AS-2,AC9E1LA05
Year1-AS-2,AC9E1LE03
Year1-AS-2,AC9E1LE05
Year1-AS-2,AC9E1LY06
Year1-AS-721,AC9E1LA03
Year1-AS-721,AC9E1LA04
Year1-AS-721,AC9E1LA05
Year1-AS-721,AC9E1LA06
Year1-AS-721,AC9E1LA07
Year1-AS-721,AC9E1LA08
Year1-AS-721,AC9E1LA09
Year1-AS-721,AC9E1LA10
Year1-AS-721,AC9E1LE01
Year1-AS-721,AC9E1LE03
Year1-AS-721,AC9E1LY01
Year1-AS-721,AC9E1LY03
Year1-AS-4399,AC9E1LY04
Year1-AS-4399,AC9E1LY09
Year1-AS-4399,AC9E1LY10
Year1-AS-4399,AC9E1LY11
Year1-AS-4399,AC9E1LY12
Year1-AS-4399,AC9E1LY14
Year1-AS-9965,AC9E1LA08
Year1-AS-9965,AC9E1LA09
Year1-AS-9965,AC9E1LE01
Year1-AS-9965,AC9E1LE02
Year1-AS-9965,AC9E1LE03
Year1-AS-9965,AC9E1LY03
Year1-AS-9965,AC9E1LY04
Year1-AS-9965,AC9E1LY05
Year1-AS-9042,AC9E1LA03
Year1-AS-9042,AC9E1LE02
Year1-AS-9042,AC9E1LY06
Year1-AS-8445,AC9E1LA02
Year1-AS-8445,AC9E1LA09
Year1-AS-8445,AC9E1LE05
Year1-AS-8445,AC9E1LY07
Year1-AS-8680,AC9E1LA02
Year1-AS-8680,AC9E1LE01
Year1-AS-8680,AC9E1LE02
Year1-AS-8680,AC9E1LE04
Year1-AS-8680,AC9E1LE05
Year1-AS-8680,AC9E1LY02
